"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-14",1.55,"1",-27
"2020-03-14",1.55,"2",-8
"2020-03-14",1.55,"3",5
"2020-03-15",1.53,"4",-24
"2020-03-15",1.53,"5",-4
"2020-03-15",1.53,"6",25
"2020-03-15",1.53,"1",-32
"2020-03-15",1.53,"2",-10
"2020-03-15",1.53,"3",4
"2020-03-16",1.53,"4",-19
"2020-03-16",1.53,"5",5
"2020-03-16",1.53,"6",11
"2020-03-16",1.53,"1",-34
"2020-03-16",1.53,"2",-23
"2020-03-16",1.53,"3",9
"2020-03-17",1.53,"4",-29
"2020-03-17",1.53,"5",1
"2020-03-17",1.53,"6",0
"2020-03-17",1.53,"1",-44
"2020-03-17",1.53,"2",-32
"2020-03-17",1.53,"3",13
"2020-03-18",1.53,"4",-36
"2020-03-18",1.53,"5",-10
"2020-03-18",1.53,"6",32
"2020-03-18",1.53,"1",-47
"2020-03-18",1.53,"2",-41
"2020-03-18",1.53,"3",15
"2020-03-19",1.53,"4",-38
"2020-03-19",1.53,"5",-12
"2020-03-19",1.53,"6",45
"2020-03-19",1.53,"1",-48
"2020-03-19",1.53,"2",-43
"2020-03-19",1.53,"3",15
"2020-03-20",1.53,"4",-38
"2020-03-20",1.53,"5",-13
"2020-03-20",1.53,"6",41
"2020-03-20",1.53,"1",-52
"2020-03-20",1.53,"2",-43
"2020-03-20",1.53,"3",16
"2020-03-21",1.53,"4",-47
"2020-03-21",1.53,"5",-15
"2020-03-21",1.53,"6",42
"2020-03-21",1.53,"1",-51
"2020-03-21",1.53,"2",-21
"2020-03-21",1.53,"3",8
"2020-03-22",1.54,"4",-44
"2020-03-22",1.54,"5",-15
"2020-03-22",1.54,"6",77
"2020-03-22",1.54,"1",-52
"2020-03-22",1.54,"2",-21
"2020-03-22",1.54,"3",7
"2020-03-23",1.52,"4",-41
"2020-03-23",1.52,"5",-16
"2020-03-23",1.52,"6",33
"2020-03-23",1.52,"1",-54
"2020-03-23",1.52,"2",-45
"2020-03-23",1.52,"3",15
"2020-03-24",1.5,"4",-43
"2020-03-24",1.5,"5",-15
"2020-03-24",1.5,"6",36
"2020-03-24",1.5,"1",-54
"2020-03-24",1.5,"2",-47
"2020-03-24",1.5,"3",16
"2020-03-25",1.47,"4",-43
"2020-03-25",1.47,"5",-16
"2020-03-25",1.47,"6",45
"2020-03-25",1.47,"1",-54
"2020-03-25",1.47,"2",-47
"2020-03-25",1.47,"3",16
"2020-03-26",1.45,"4",-44
"2020-03-26",1.45,"5",-15
"2020-03-26",1.45,"6",52
"2020-03-26",1.45,"1",-55
"2020-03-26",1.45,"2",-47
"2020-03-26",1.45,"3",16
"2020-03-27",1.42,"4",-45
"2020-03-27",1.42,"5",-16
"2020-03-27",1.42,"6",46
"2020-03-27",1.42,"1",-58
"2020-03-27",1.42,"2",-47
"2020-03-27",1.42,"3",18
"2020-03-28",1.4,"4",-51
"2020-03-28",1.4,"5",-16
"2020-03-28",1.4,"6",45
"2020-03-28",1.4,"1",-54
"2020-03-28",1.4,"2",-24
"2020-03-28",1.4,"3",9
"2020-03-29",1.38,"4",-52
"2020-03-29",1.38,"5",-21
"2020-03-29",1.38,"6",48
"2020-03-29",1.38,"1",-59
"2020-03-29",1.38,"2",-25
"2020-03-29",1.38,"3",9
"2020-03-30",1.36,"4",-47
"2020-03-30",1.36,"5",-20
"2020-03-30",1.36,"6",32
"2020-03-30",1.36,"1",-57
"2020-03-30",1.36,"2",-48
"2020-03-30",1.36,"3",16
"2020-03-31",1.34,"4",-49
"2020-03-31",1.34,"5",-18
"2020-03-31",1.34,"6",-2
"2020-03-31",1.34,"1",-59
"2020-03-31",1.34,"2",-49
"2020-03-31",1.34,"3",18
"2020-04-01",1.33,"4",-45
"2020-04-01",1.33,"5",-13
"2020-04-01",1.33,"6",38
"2020-04-01",1.33,"1",-56
"2020-04-01",1.33,"2",-49
"2020-04-01",1.33,"3",17
"2020-04-02",1.33,"4",-47
"2020-04-02",1.33,"5",-16
"2020-04-02",1.33,"6",14
"2020-04-02",1.33,"1",-59
"2020-04-02",1.33,"2",-49
"2020-04-02",1.33,"3",18
"2020-04-03",1.34,"4",-48
"2020-04-03",1.34,"5",-15
"2020-04-03",1.34,"6",0
"2020-04-03",1.34,"1",-62
"2020-04-03",1.34,"2",-49
"2020-04-03",1.34,"3",19
"2020-04-04",1.35,"4",-49
"2020-04-04",1.35,"5",-13
"2020-04-04",1.35,"6",45
"2020-04-04",1.35,"1",-55
"2020-04-04",1.35,"2",-26
"2020-04-04",1.35,"3",9
"2020-04-05",1.33,"4",-47
"2020-04-05",1.33,"5",-13
"2020-04-05",1.33,"6",73
"2020-04-05",1.33,"1",-57
"2020-04-05",1.33,"2",-25
"2020-04-05",1.33,"3",8
"2020-04-06",1.32,"4",-41
"2020-04-06",1.32,"5",-15
"2020-04-06",1.32,"6",48
"2020-04-06",1.32,"1",-56
"2020-04-06",1.32,"2",-49
"2020-04-06",1.32,"3",16
"2020-04-07",1.28,"4",-41
"2020-04-07",1.28,"5",-9
"2020-04-07",1.28,"6",60
"2020-04-07",1.28,"1",-56
"2020-04-07",1.28,"2",-50
"2020-04-07",1.28,"3",16
"2020-04-08",1.25,"4",-37
"2020-04-08",1.25,"5",1
"2020-04-08",1.25,"6",78
"2020-04-08",1.25,"1",-54
"2020-04-08",1.25,"2",-50
"2020-04-08",1.25,"3",15
"2020-04-09",1.21,"4",-31
"2020-04-09",1.21,"5",11
"2020-04-09",1.21,"6",64
"2020-04-09",1.21,"1",-54
"2020-04-09",1.21,"2",-52
"2020-04-09",1.21,"3",14
"2020-04-10",1.18,"4",-67
"2020-04-10",1.18,"5",-38
"2020-04-10",1.18,"6",124
"2020-04-10",1.18,"1",-69
"2020-04-10",1.18,"2",-83
"2020-04-10",1.18,"3",26
"2020-04-11",1.14,"4",-51
"2020-04-11",1.14,"5",-17
"2020-04-11",1.14,"6",89
"2020-04-11",1.14,"1",-54
"2020-04-11",1.14,"2",-30
"2020-04-11",1.14,"3",8
"2020-04-12",1.12,"4",-62
"2020-04-12",1.12,"5",-27
"2020-04-12",1.12,"6",-9
"2020-04-12",1.12,"1",-70
"2020-04-12",1.12,"2",-33
"2020-04-12",1.12,"3",11
"2020-04-13",1.1,"4",-62
"2020-04-13",1.1,"5",-30
"2020-04-13",1.1,"6",96
"2020-04-13",1.1,"1",-68
"2020-04-13",1.1,"2",-84
"2020-04-13",1.1,"3",23
"2020-04-14",1.08,"4",-45
"2020-04-14",1.08,"5",-13
"2020-04-14",1.08,"6",11
"2020-04-14",1.08,"1",-58
"2020-04-14",1.08,"2",-50
"2020-04-14",1.08,"3",17
"2020-04-15",1.07,"4",-42
"2020-04-15",1.07,"5",-12
"2020-04-15",1.07,"6",37
"2020-04-15",1.07,"1",-57
"2020-04-15",1.07,"2",-49
"2020-04-15",1.07,"3",17
"2020-04-16",1.07,"4",-43
"2020-04-16",1.07,"5",-13
"2020-04-16",1.07,"6",28
"2020-04-16",1.07,"1",-58
"2020-04-16",1.07,"2",-49
"2020-04-16",1.07,"3",17
"2020-04-17",1.06,"4",-42
"2020-04-17",1.06,"5",-12
"2020-04-17",1.06,"6",32
"2020-04-17",1.06,"1",-59
"2020-04-17",1.06,"2",-48
"2020-04-17",1.06,"3",17
"2020-04-18",1.05,"4",-47
"2020-04-18",1.05,"5",-15
"2020-04-18",1.05,"6",44
"2020-04-18",1.05,"1",-52
"2020-04-18",1.05,"2",-21
"2020-04-18",1.05,"3",8
"2020-04-19",1.04,"4",-45
"2020-04-19",1.04,"5",-16
"2020-04-19",1.04,"6",81
"2020-04-19",1.04,"1",-55
"2020-04-19",1.04,"2",-20
"2020-04-19",1.04,"3",7
"2020-04-20",1.03,"4",-39
"2020-04-20",1.03,"5",-16
"2020-04-20",1.03,"6",62
"2020-04-20",1.03,"1",-53
"2020-04-20",1.03,"2",-47
"2020-04-20",1.03,"3",14
"2020-04-21",1.02,"4",-38
"2020-04-21",1.02,"5",-11
"2020-04-21",1.02,"6",121
"2020-04-21",1.02,"1",-50
"2020-04-21",1.02,"2",-47
"2020-04-21",1.02,"3",13
"2020-04-22",1,"4",-39
"2020-04-22",1,"5",-11
"2020-04-22",1,"6",110
"2020-04-22",1,"1",-51
"2020-04-22",1,"2",-46
"2020-04-22",1,"3",14
"2020-04-23",0.99,"4",-39
"2020-04-23",0.99,"5",-10
"2020-04-23",0.99,"6",84
"2020-04-23",0.99,"1",-53
"2020-04-23",0.99,"2",-47
"2020-04-23",0.99,"3",14
"2020-04-24",0.97,"4",-41
"2020-04-24",0.97,"5",-12
"2020-04-24",0.97,"6",49
"2020-04-24",0.97,"1",-57
"2020-04-24",0.97,"2",-47
"2020-04-24",0.97,"3",15
"2020-04-25",0.95,"4",-46
"2020-04-25",0.95,"5",-16
"2020-04-25",0.95,"6",56
"2020-04-25",0.95,"1",-52
"2020-04-25",0.95,"2",-21
"2020-04-25",0.95,"3",6
"2020-04-26",0.95,"4",-45
"2020-04-26",0.95,"5",-14
"2020-04-26",0.95,"6",56
"2020-04-26",0.95,"1",-56
"2020-04-26",0.95,"2",-20
"2020-04-26",0.95,"3",6
"2020-04-27",0.94,"4",-37
"2020-04-27",0.94,"5",-13
"2020-04-27",0.94,"6",60
"2020-04-27",0.94,"1",-53
"2020-04-27",0.94,"2",-46
"2020-04-27",0.94,"3",14
"2020-04-28",0.93,"4",-39
"2020-04-28",0.93,"5",-10
"2020-04-28",0.93,"6",38
"2020-04-28",0.93,"1",-54
"2020-04-28",0.93,"2",-46
"2020-04-28",0.93,"3",13
"2020-04-29",0.93,"4",-35
"2020-04-29",0.93,"5",2
"2020-04-29",0.93,"6",54
"2020-04-29",0.93,"1",-52
"2020-04-29",0.93,"2",-46
"2020-04-29",0.93,"3",14
"2020-04-30",0.92,"4",-30
"2020-04-30",0.92,"5",15
"2020-04-30",0.92,"6",105
"2020-04-30",0.92,"1",-48
"2020-04-30",0.92,"2",-49
"2020-04-30",0.92,"3",10
"2020-05-01",0.91,"4",-69
"2020-05-01",0.91,"5",-44
"2020-05-01",0.91,"6",152
"2020-05-01",0.91,"1",-68
"2020-05-01",0.91,"2",-82
"2020-05-01",0.91,"3",23
"2020-05-02",0.9,"4",-47
"2020-05-02",0.9,"5",-20
"2020-05-02",0.9,"6",68
"2020-05-02",0.9,"1",-54
"2020-05-02",0.9,"2",-23
"2020-05-02",0.9,"3",7
"2020-05-03",0.9,"4",-41
"2020-05-03",0.9,"5",-11
"2020-05-03",0.9,"6",94
"2020-05-03",0.9,"1",-52
"2020-05-03",0.9,"2",-16
"2020-05-03",0.9,"3",4
"2020-05-04",0.9,"4",-31
"2020-05-04",0.9,"5",-5
"2020-05-04",0.9,"6",80
"2020-05-04",0.9,"1",-49
"2020-05-04",0.9,"2",-45
"2020-05-04",0.9,"3",12
"2020-05-05",0.89,"4",-31
"2020-05-05",0.89,"5",-5
"2020-05-05",0.89,"6",129
"2020-05-05",0.89,"1",-47
"2020-05-05",0.89,"2",-44
"2020-05-05",0.89,"3",12
"2020-05-06",0.89,"4",-32
"2020-05-06",0.89,"5",-5
"2020-05-06",0.89,"6",118
"2020-05-06",0.89,"1",-48
"2020-05-06",0.89,"2",-44
"2020-05-06",0.89,"3",12
"2020-05-07",0.87,"4",-32
"2020-05-07",0.87,"5",-3
"2020-05-07",0.87,"6",96
"2020-05-07",0.87,"1",-49
"2020-05-07",0.87,"2",-44
"2020-05-07",0.87,"3",12
"2020-05-08",0.85,"4",-33
"2020-05-08",0.85,"5",-3
"2020-05-08",0.85,"6",89
"2020-05-08",0.85,"1",-50
"2020-05-08",0.85,"2",-44
"2020-05-08",0.85,"3",12
"2020-05-09",0.84,"4",-31
"2020-05-09",0.84,"5",4
"2020-05-09",0.84,"6",96
"2020-05-09",0.84,"1",-42
"2020-05-09",0.84,"2",-13
"2020-05-09",0.84,"3",3
"2020-05-10",0.82,"4",-37
"2020-05-10",0.82,"5",-7
"2020-05-10",0.82,"6",81
"2020-05-10",0.82,"1",-46
"2020-05-10",0.82,"2",-9
"2020-05-10",0.82,"3",2
"2020-05-11",0.8,"4",-40
"2020-05-11",0.8,"5",-16
"2020-05-11",0.8,"6",13
"2020-05-11",0.8,"1",-54
"2020-05-11",0.8,"2",-45
"2020-05-11",0.8,"3",14
"2020-05-12",0.79,"4",-35
"2020-05-12",0.79,"5",-7
"2020-05-12",0.79,"6",68
"2020-05-12",0.79,"1",-48
"2020-05-12",0.79,"2",-43
"2020-05-12",0.79,"3",13
"2020-05-13",0.78,"4",-36
"2020-05-13",0.78,"5",-8
"2020-05-13",0.78,"6",78
"2020-05-13",0.78,"1",-49
"2020-05-13",0.78,"2",-43
"2020-05-13",0.78,"3",13
"2020-05-14",0.78,"4",-35
"2020-05-14",0.78,"5",-6
"2020-05-14",0.78,"6",77
"2020-05-14",0.78,"1",-44
"2020-05-14",0.78,"2",-32
"2020-05-14",0.78,"3",9
"2020-05-15",0.77,"4",-34
"2020-05-15",0.77,"5",-5
"2020-05-15",0.77,"6",78
"2020-05-15",0.77,"1",-48
"2020-05-15",0.77,"2",-32
"2020-05-15",0.77,"3",10
"2020-05-16",0.76,"4",-40
"2020-05-16",0.76,"5",-9
"2020-05-16",0.76,"6",38
"2020-05-16",0.76,"1",-51
"2020-05-16",0.76,"2",-15
"2020-05-16",0.76,"3",6
"2020-05-17",0.75,"4",-37
"2020-05-17",0.75,"5",-8
"2020-05-17",0.75,"6",73
"2020-05-17",0.75,"1",-51
"2020-05-17",0.75,"2",-10
"2020-05-17",0.75,"3",4
"2020-05-18",0.74,"4",-28
"2020-05-18",0.74,"5",-6
"2020-05-18",0.74,"6",86
"2020-05-18",0.74,"1",-43
"2020-05-18",0.74,"2",-31
"2020-05-18",0.74,"3",9
"2020-05-19",0.73,"4",-30
"2020-05-19",0.73,"5",-4
"2020-05-19",0.73,"6",73
"2020-05-19",0.73,"1",-44
"2020-05-19",0.73,"2",-32
"2020-05-19",0.73,"3",10
"2020-05-20",0.72,"4",-24
"2020-05-20",0.72,"5",14
"2020-05-20",0.72,"6",71
"2020-05-20",0.72,"1",-34
"2020-05-20",0.72,"2",-31
"2020-05-20",0.72,"3",6
"2020-05-21",0.72,"4",-47
"2020-05-21",0.72,"5",-14
"2020-05-21",0.72,"6",149
"2020-05-21",0.72,"1",-53
"2020-05-21",0.72,"2",-76
"2020-05-21",0.72,"3",17
"2020-05-22",0.72,"4",-29
"2020-05-22",0.72,"5",-1
"2020-05-22",0.72,"6",157
"2020-05-22",0.72,"1",-41
"2020-05-22",0.72,"2",-45
"2020-05-22",0.72,"3",9
"2020-05-23",0.72,"4",-37
"2020-05-23",0.72,"5",-4
"2020-05-23",0.72,"6",130
"2020-05-23",0.72,"1",-34
"2020-05-23",0.72,"2",-8
"2020-05-23",0.72,"3",1
"2020-05-24",0.72,"4",-34
"2020-05-24",0.72,"5",1
"2020-05-24",0.72,"6",80
"2020-05-24",0.72,"1",-40
"2020-05-24",0.72,"2",-5
"2020-05-24",0.72,"3",-1
"2020-05-25",0.73,"4",-24
"2020-05-25",0.73,"5",3
"2020-05-25",0.73,"6",76
"2020-05-25",0.73,"1",-35
"2020-05-25",0.73,"2",-31
"2020-05-25",0.73,"3",7
"2020-05-26",0.74,"4",-23
"2020-05-26",0.74,"5",6
"2020-05-26",0.74,"6",114
"2020-05-26",0.74,"1",-30
"2020-05-26",0.74,"2",-30
"2020-05-26",0.74,"3",6
"2020-05-27",0.75,"4",-25
"2020-05-27",0.75,"5",4
"2020-05-27",0.75,"6",86
"2020-05-27",0.75,"1",-34
"2020-05-27",0.75,"2",-29
"2020-05-27",0.75,"3",7
"2020-05-28",0.75,"4",-27
"2020-05-28",0.75,"5",4
"2020-05-28",0.75,"6",66
"2020-05-28",0.75,"1",-36
"2020-05-28",0.75,"2",-29
"2020-05-28",0.75,"3",7
"2020-05-29",0.74,"4",-26
"2020-05-29",0.74,"5",2
"2020-05-29",0.74,"6",91
"2020-05-29",0.74,"1",-36
"2020-05-29",0.74,"2",-28
"2020-05-29",0.74,"3",7
"2020-05-30",0.73,"4",-27
"2020-05-30",0.73,"5",6
"2020-05-30",0.73,"6",118
"2020-05-30",0.73,"1",-21
"2020-05-30",0.73,"2",32
"2020-05-30",0.73,"3",-2
"2020-05-31",0.72,"4",-26
"2020-05-31",0.72,"5",9
"2020-05-31",0.72,"6",122
"2020-05-31",0.72,"1",-31
"2020-05-31",0.72,"2",4
"2020-05-31",0.72,"3",-2
"2020-06-01",0.71,"4",-6
"2020-06-01",0.71,"5",7
"2020-06-01",0.71,"6",114
"2020-06-01",0.71,"1",-27
"2020-06-01",0.71,"2",-40
"2020-06-01",0.71,"3",5
"2020-06-02",0.69,"4",-11
"2020-06-02",0.69,"5",5
"2020-06-02",0.69,"6",124
"2020-06-02",0.69,"1",-26
"2020-06-02",0.69,"2",-40
"2020-06-02",0.69,"3",6
"2020-06-03",0.68,"4",-11
"2020-06-03",0.68,"5",6
"2020-06-03",0.68,"6",145
"2020-06-03",0.68,"1",-26
