"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-23",1.87,"1",-34
"2020-03-23",1.87,"2",6
"2020-03-23",1.87,"3",6
"2020-03-24",1.88,"4",-19
"2020-03-24",1.88,"5",12
"2020-03-24",1.88,"6",-52
"2020-03-24",1.88,"1",-51
"2020-03-24",1.88,"2",-32
"2020-03-24",1.88,"3",16
"2020-03-25",1.86,"4",-38
"2020-03-25",1.86,"5",4
"2020-03-25",1.86,"6",-52
"2020-03-25",1.86,"1",-61
"2020-03-25",1.86,"2",-49
"2020-03-25",1.86,"3",20
"2020-03-26",1.83,"4",-92
"2020-03-26",1.83,"5",-58
"2020-03-26",1.83,"6",-77
"2020-03-26",1.83,"1",-84
"2020-03-26",1.83,"2",-74
"2020-03-26",1.83,"3",35
"2020-03-27",1.78,"4",-91
"2020-03-27",1.78,"5",-48
"2020-03-27",1.78,"6",-80
"2020-03-27",1.78,"1",-84
"2020-03-27",1.78,"2",-74
"2020-03-27",1.78,"3",38
"2020-03-28",1.71,"4",-92
"2020-03-28",1.71,"5",-53
"2020-03-28",1.71,"6",-80
"2020-03-28",1.71,"1",-84
"2020-03-28",1.71,"2",-63
"2020-03-28",1.71,"3",26
"2020-03-29",1.63,"4",-91
"2020-03-29",1.63,"5",-54
"2020-03-29",1.63,"6",-78
"2020-03-29",1.63,"1",-84
"2020-03-29",1.63,"2",-59
"2020-03-29",1.63,"3",22
"2020-03-30",1.56,"4",-88
"2020-03-30",1.56,"5",-44
"2020-03-30",1.56,"6",-73
"2020-03-30",1.56,"1",-85
"2020-03-30",1.56,"2",-71
"2020-03-30",1.56,"3",30
"2020-03-31",1.49,"4",-87
"2020-03-31",1.49,"5",-38
"2020-03-31",1.49,"6",-66
"2020-03-31",1.49,"1",-85
"2020-03-31",1.49,"2",-75
"2020-03-31",1.49,"3",33
"2020-04-01",1.42,"4",-87
"2020-04-01",1.42,"5",-38
"2020-04-01",1.42,"6",-66
"2020-04-01",1.42,"1",-85
"2020-04-01",1.42,"2",-74
"2020-04-01",1.42,"3",34
"2020-04-02",1.36,"4",-88
"2020-04-02",1.36,"5",-37
"2020-04-02",1.36,"6",-69
"2020-04-02",1.36,"1",-85
"2020-04-02",1.36,"2",-74
"2020-04-02",1.36,"3",34
"2020-04-03",1.29,"4",-89
"2020-04-03",1.29,"5",-37
"2020-04-03",1.29,"6",-72
"2020-04-03",1.29,"1",-86
"2020-04-03",1.29,"2",-73
"2020-04-03",1.29,"3",37
"2020-04-04",1.23,"4",-91
"2020-04-04",1.23,"5",-46
"2020-04-04",1.23,"6",-75
"2020-04-04",1.23,"1",-84
"2020-04-04",1.23,"2",-60
"2020-04-04",1.23,"3",25
"2020-04-05",1.17,"4",-90
"2020-04-05",1.17,"5",-48
"2020-04-05",1.17,"6",-74
"2020-04-05",1.17,"1",-84
"2020-04-05",1.17,"2",-57
"2020-04-05",1.17,"3",21
"2020-04-06",1.1,"4",-88
"2020-04-06",1.1,"5",-39
"2020-04-06",1.1,"6",-71
"2020-04-06",1.1,"1",-85
"2020-04-06",1.1,"2",-70
"2020-04-06",1.1,"3",30
"2020-04-07",1.03,"4",-88
"2020-04-07",1.03,"5",-35
"2020-04-07",1.03,"6",-67
"2020-04-07",1.03,"1",-85
"2020-04-07",1.03,"2",-74
"2020-04-07",1.03,"3",33
"2020-04-08",0.96,"4",-87
"2020-04-08",0.96,"5",-31
"2020-04-08",0.96,"6",-74
"2020-04-08",0.96,"1",-85
"2020-04-08",0.96,"2",-74
"2020-04-08",0.96,"3",33
"2020-04-09",0.9,"4",-86
"2020-04-09",0.9,"5",-18
"2020-04-09",0.9,"6",-77
"2020-04-09",0.9,"1",-85
"2020-04-09",0.9,"2",-73
"2020-04-09",0.9,"3",33
"2020-04-10",0.85,"4",-95
"2020-04-10",0.85,"5",-91
"2020-04-10",0.85,"6",-68
"2020-04-10",0.85,"1",-89
"2020-04-10",0.85,"2",-88
"2020-04-10",0.85,"3",42
"2020-04-11",0.79,"4",-88
"2020-04-11",0.79,"5",-33
"2020-04-11",0.79,"6",-75
"2020-04-11",0.79,"1",-82
"2020-04-11",0.79,"2",-58
"2020-04-11",0.79,"3",24
"2020-04-12",0.75,"4",-92
"2020-04-12",0.75,"5",-59
"2020-04-12",0.75,"6",-77
"2020-04-12",0.75,"1",-85
"2020-04-12",0.75,"2",-59
"2020-04-12",0.75,"3",22
"2020-04-13",0.71,"4",-91
"2020-04-13",0.71,"5",-45
"2020-04-13",0.71,"6",-76
"2020-04-13",0.71,"1",-89
"2020-04-13",0.71,"2",-85
"2020-04-13",0.71,"3",34
"2020-04-14",0.66,"4",-89
"2020-04-14",0.66,"5",-37
"2020-04-14",0.66,"6",-77
"2020-04-14",0.66,"1",-87
"2020-04-14",0.66,"2",-74
"2020-04-14",0.66,"3",34
"2020-04-15",0.63,"4",-88
"2020-04-15",0.63,"5",-36
"2020-04-15",0.63,"6",-76
"2020-04-15",0.63,"1",-86
"2020-04-15",0.63,"2",-73
"2020-04-15",0.63,"3",34
"2020-04-16",0.59,"4",-89
"2020-04-16",0.59,"5",-35
"2020-04-16",0.59,"6",-75
"2020-04-16",0.59,"1",-86
"2020-04-16",0.59,"2",-72
"2020-04-16",0.59,"3",34
"2020-04-17",0.57,"4",-90
"2020-04-17",0.57,"5",-37
"2020-04-17",0.57,"6",-81
"2020-04-17",0.57,"1",-87
"2020-04-17",0.57,"2",-72
"2020-04-17",0.57,"3",37
"2020-04-18",0.54,"4",-91
"2020-04-18",0.54,"5",-45
"2020-04-18",0.54,"6",-77
"2020-04-18",0.54,"1",-84
"2020-04-18",0.54,"2",-57
"2020-04-18",0.54,"3",25
"2020-04-19",0.52,"4",-91
"2020-04-19",0.52,"5",-50
"2020-04-19",0.52,"6",-77
"2020-04-19",0.52,"1",-85
"2020-04-19",0.52,"2",-55
"2020-04-19",0.52,"3",21
"2020-04-20",0.5,"4",-89
"2020-04-20",0.5,"5",-42
"2020-04-20",0.5,"6",-71
"2020-04-20",0.5,"1",-85
"2020-04-20",0.5,"2",-68
"2020-04-20",0.5,"3",29
"2020-04-21",0.48,"4",-87
"2020-04-21",0.48,"5",-36
"2020-04-21",0.48,"6",-66
"2020-04-21",0.48,"1",-85
"2020-04-21",0.48,"2",-71
"2020-04-21",0.48,"3",33
"2020-04-22",0.46,"4",-87
"2020-04-22",0.46,"5",-35
"2020-04-22",0.46,"6",-64
"2020-04-22",0.46,"1",-84
"2020-04-22",0.46,"2",-70
"2020-04-22",0.46,"3",33
"2020-04-23",0.45,"4",-88
"2020-04-23",0.45,"5",-35
"2020-04-23",0.45,"6",-74
"2020-04-23",0.45,"1",-85
"2020-04-23",0.45,"2",-68
"2020-04-23",0.45,"3",33
"2020-04-24",0.43,"4",-88
"2020-04-24",0.43,"5",-31
"2020-04-24",0.43,"6",-68
"2020-04-24",0.43,"1",-84
"2020-04-24",0.43,"2",-66
"2020-04-24",0.43,"3",35
"2020-04-25",0.42,"4",-89
"2020-04-25",0.42,"5",-53
"2020-04-25",0.42,"6",-69
"2020-04-25",0.42,"1",-81
"2020-04-25",0.42,"2",-56
"2020-04-25",0.42,"3",24
"2020-04-26",0.42,"4",-88
"2020-04-26",0.42,"5",-37
"2020-04-26",0.42,"6",-69
"2020-04-26",0.42,"1",-82
"2020-04-26",0.42,"2",-49
"2020-04-26",0.42,"3",20
"2020-04-27",0.41,"4",-89
"2020-04-27",0.41,"5",-41
"2020-04-27",0.41,"6",-63
"2020-04-27",0.41,"1",-87
"2020-04-27",0.41,"2",-81
"2020-04-27",0.41,"3",32
"2020-04-28",0.4,"4",-68
"2020-04-28",0.4,"5",-28
"2020-04-28",0.4,"6",-48
"2020-04-28",0.4,"1",-73
"2020-04-28",0.4,"2",-47
"2020-04-28",0.4,"3",22
"2020-04-29",0.39,"4",-70
"2020-04-29",0.39,"5",-30
"2020-04-29",0.39,"6",-51
"2020-04-29",0.39,"1",-72
"2020-04-29",0.39,"2",-48
"2020-04-29",0.39,"3",14
"2020-04-30",0.39,"4",-81
"2020-04-30",0.39,"5",-25
"2020-04-30",0.39,"6",-53
"2020-04-30",0.39,"1",-69
"2020-04-30",0.39,"2",-46
"2020-04-30",0.39,"3",24
"2020-05-01",0.39,"4",-80
"2020-05-01",0.39,"5",-23
"2020-05-01",0.39,"6",-51
"2020-05-01",0.39,"1",-69
"2020-05-01",0.39,"2",-44
"2020-05-01",0.39,"3",25
"2020-05-02",0.38,"4",-83
"2020-05-02",0.38,"5",-29
"2020-05-02",0.38,"6",-56
"2020-05-02",0.38,"1",-65
"2020-05-02",0.38,"2",-34
"2020-05-02",0.38,"3",18
"2020-05-03",0.38,"4",-87
"2020-05-03",0.38,"5",-38
"2020-05-03",0.38,"6",-72
"2020-05-03",0.38,"1",-76
"2020-05-03",0.38,"2",-39
"2020-05-03",0.38,"3",18
"2020-05-04",0.38,"4",-80
"2020-05-04",0.38,"5",-30
"2020-05-04",0.38,"6",-59
"2020-05-04",0.38,"1",-70
"2020-05-04",0.38,"2",-37
"2020-05-04",0.38,"3",20
"2020-05-05",0.38,"4",-81
"2020-05-05",0.38,"5",-29
"2020-05-05",0.38,"6",-64
"2020-05-05",0.38,"1",-72
"2020-05-05",0.38,"2",-46
"2020-05-05",0.38,"3",24
"2020-05-06",0.38,"4",-79
"2020-05-06",0.38,"5",-23
"2020-05-06",0.38,"6",-48
"2020-05-06",0.38,"1",-68
"2020-05-06",0.38,"2",-44
"2020-05-06",0.38,"3",23
"2020-05-07",0.38,"4",-72
"2020-05-07",0.38,"5",-25
"2020-05-07",0.38,"6",-55
"2020-05-07",0.38,"1",-70
"2020-05-07",0.38,"2",-42
"2020-05-07",0.38,"3",23
"2020-05-08",0.39,"4",-70
"2020-05-08",0.39,"5",-21
"2020-05-08",0.39,"6",-51
"2020-05-08",0.39,"1",-70
"2020-05-08",0.39,"2",-40
"2020-05-08",0.39,"3",24
"2020-05-09",0.39,"4",-71
"2020-05-09",0.39,"5",-20
"2020-05-09",0.39,"6",-41
"2020-05-09",0.39,"1",-64
"2020-05-09",0.39,"2",-27
"2020-05-09",0.39,"3",16
"2020-05-10",0.39,"4",-72
"2020-05-10",0.39,"5",-25
"2020-05-10",0.39,"6",-44
"2020-05-10",0.39,"1",-68
"2020-05-10",0.39,"2",-30
"2020-05-10",0.39,"3",14
"2020-05-11",0.38,"4",-72
"2020-05-11",0.38,"5",-33
"2020-05-11",0.38,"6",-54
"2020-05-11",0.38,"1",-70
"2020-05-11",0.38,"2",-33
"2020-05-11",0.38,"3",19
"2020-05-12",0.37,"4",-70
"2020-05-12",0.37,"5",-25
"2020-05-12",0.37,"6",-52
"2020-05-12",0.37,"1",-70
"2020-05-12",0.37,"2",-40
"2020-05-12",0.37,"3",22
"2020-05-13",0.37,"4",-70
"2020-05-13",0.37,"5",-25
"2020-05-13",0.37,"6",-53
"2020-05-13",0.37,"1",-68
"2020-05-13",0.37,"2",-39
"2020-05-13",0.37,"3",21
"2020-05-14",0.38,"4",-35
"2020-05-14",0.38,"5",-9
"2020-05-14",0.38,"6",-45
"2020-05-14",0.38,"1",-50
"2020-05-14",0.38,"2",-28
"2020-05-14",0.38,"3",15
"2020-05-15",0.38,"4",-35
"2020-05-15",0.38,"5",-8
"2020-05-15",0.38,"6",-42
"2020-05-15",0.38,"1",-48
"2020-05-15",0.38,"2",-28
"2020-05-15",0.38,"3",16
"2020-05-16",0.39,"4",-31
"2020-05-16",0.39,"5",-8
"2020-05-16",0.39,"6",-35
"2020-05-16",0.39,"1",-32
"2020-05-16",0.39,"2",-12
"2020-05-16",0.39,"3",8
"2020-05-17",0.4,"4",-34
"2020-05-17",0.4,"5",-10
"2020-05-17",0.4,"6",-33
"2020-05-17",0.4,"1",-38
"2020-05-17",0.4,"2",-17
"2020-05-17",0.4,"3",8
"2020-05-18",0.41,"4",-33
"2020-05-18",0.41,"5",-10
"2020-05-18",0.41,"6",-39
"2020-05-18",0.41,"1",-39
"2020-05-18",0.41,"2",-2
"2020-05-18",0.41,"3",8
"2020-05-19",0.43,"4",-36
"2020-05-19",0.43,"5",-10
"2020-05-19",0.43,"6",-37
"2020-05-19",0.43,"1",-42
"2020-05-19",0.43,"2",-14
"2020-05-19",0.43,"3",11
"2020-05-20",0.4,"4",-29
"2020-05-20",0.4,"5",-13
"2020-05-20",0.4,"6",-38
"2020-05-20",0.4,"1",-47
"2020-05-20",0.4,"2",-14
"2020-05-20",0.4,"3",11
"2020-05-21",0.37,"4",-28
"2020-05-21",0.37,"5",-12
"2020-05-21",0.37,"6",-42
"2020-05-21",0.37,"1",-47
"2020-05-21",0.37,"2",-10
"2020-05-21",0.37,"3",11
"2020-05-22",0.34,"4",-24
"2020-05-22",0.34,"5",-8
"2020-05-22",0.34,"6",-39
"2020-05-22",0.34,"1",-45
"2020-05-22",0.34,"2",-9
"2020-05-22",0.34,"3",11
"2020-05-23",0.3,"4",-18
"2020-05-23",0.3,"5",-9
"2020-05-23",0.3,"6",-33
"2020-05-23",0.3,"1",-38
"2020-05-23",0.3,"2",-7
"2020-05-23",0.3,"3",7
"2020-05-24",0.28,"4",-25
"2020-05-24",0.28,"5",-15
"2020-05-24",0.28,"6",-53
"2020-05-24",0.28,"1",-52
"2020-05-24",0.28,"2",-16
"2020-05-24",0.28,"3",8
"2020-05-25",0.26,"4",-29
"2020-05-25",0.26,"5",-16
"2020-05-25",0.26,"6",-57
"2020-05-25",0.26,"1",-48
"2020-05-25",0.26,"2",-1
"2020-05-25",0.26,"3",9
"2020-05-26",0.25,"4",-27
"2020-05-26",0.25,"5",-12
"2020-05-26",0.25,"6",-41
"2020-05-26",0.25,"1",-46
"2020-05-26",0.25,"2",-9
"2020-05-26",0.25,"3",10
"2020-05-27",0.23,"4",-26
"2020-05-27",0.23,"5",-12
"2020-05-27",0.23,"6",-45
"2020-05-27",0.23,"1",-44
"2020-05-27",0.23,"2",-9
"2020-05-27",0.23,"3",10
"2020-05-28",0.23,"4",-24
"2020-05-28",0.23,"5",-9
"2020-05-28",0.23,"6",-40
"2020-05-28",0.23,"1",-40
"2020-05-28",0.23,"2",-5
"2020-05-28",0.23,"3",9
"2020-05-29",0.22,"4",-20
"2020-05-29",0.22,"5",-5
"2020-05-29",0.22,"6",-45
"2020-05-29",0.22,"1",-40
"2020-05-29",0.22,"2",-9
"2020-05-29",0.22,"3",9
"2020-05-30",0.22,"4",-12
"2020-05-30",0.22,"5",-4
"2020-05-30",0.22,"6",-26
"2020-05-30",0.22,"1",-31
"2020-05-30",0.22,"2",-5
"2020-05-30",0.22,"3",5
"2020-05-31",0.22,"4",-15
"2020-05-31",0.22,"5",-13
"2020-05-31",0.22,"6",-31
"2020-05-31",0.22,"1",-41
"2020-05-31",0.22,"2",-11
"2020-05-31",0.22,"3",5
"2020-06-01",0.23,"4",-18
"2020-06-01",0.23,"5",-9
"2020-06-01",0.23,"6",-34
"2020-06-01",0.23,"1",-56
"2020-06-01",0.23,"2",-72
"2020-06-01",0.23,"3",17
"2020-06-02",0.23,"4",-29
"2020-06-02",0.23,"5",-11
"2020-06-02",0.23,"6",-36
"2020-06-02",0.23,"1",-41
"2020-06-02",0.23,"2",-8
"2020-06-02",0.23,"3",8
"2020-06-03",0.24,"4",-27
"2020-06-03",0.24,"5",-12
"2020-06-03",0.24,"6",-40
"2020-06-03",0.24,"1",-39
"2020-06-03",0.24,"2",-6
"2020-06-03",0.24,"3",9
"2020-06-04",0.26,"4",-27
"2020-06-04",0.26,"5",-10
"2020-06-04",0.26,"6",-51
"2020-06-04",0.26,"1",-41
"2020-06-04",0.26,"2",-2
"2020-06-04",0.26,"3",9
"2020-06-05",0.28,"4",-16
"2020-06-05",0.28,"5",-9
"2020-06-05",0.28,"6",-51
"2020-06-05",0.28,"1",-43
"2020-06-05",0.28,"2",-2
"2020-06-05",0.28,"3",9
"2020-06-06",0.3,"4",-8
"2020-06-06",0.3,"5",-8
"2020-06-06",0.3,"6",-41
"2020-06-06",0.3,"1",-41
"2020-06-06",0.3,"2",-2
"2020-06-06",0.3,"3",7
"2020-06-07",0.32,"4",-12
"2020-06-07",0.32,"5",-10
"2020-06-07",0.32,"6",-38
"2020-06-07",0.32,"1",-46
"2020-06-07",0.32,"2",-8
"2020-06-07",0.32,"3",7
"2020-06-08",0.36,"4",-21
"2020-06-08",0.36,"5",-14
"2020-06-08",0.36,"6",-40
"2020-06-08",0.36,"1",-41
"2020-06-08",0.36,"2",9
"2020-06-08",0.36,"3",6
"2020-06-09",0.39,"4",-19
"2020-06-09",0.39,"5",-11
"2020-06-09",0.39,"6",-35
"2020-06-09",0.39,"1",-41
"2020-06-09",0.39,"2",-3
"2020-06-09",0.39,"3",7
"2020-06-10",0.43,"4",-17
"2020-06-10",0.43,"5",-12
"2020-06-10",0.43,"6",-35
"2020-06-10",0.43,"1",-38
"2020-06-10",0.43,"2",-3
"2020-06-10",0.43,"3",7
"2020-06-11",0.48,"4",-14
"2020-06-11",0.48,"5",-10
"2020-06-11",0.48,"6",-40
"2020-06-11",0.48,"1",-38
"2020-06-11",0.48,"2",1
"2020-06-11",0.48,"3",7
"2020-06-12",0.54,"4",-9
"2020-06-12",0.54,"5",-7
"2020-06-12",0.54,"6",-45
"2020-06-12",0.54,"1",-36
"2020-06-12",0.54,"2",0
"2020-06-12",0.54,"3",7
"2020-06-13",0.6,"4",-1
"2020-06-13",0.6,"5",-4
"2020-06-13",0.6,"6",-30
"2020-06-13",0.6,"1",-33
"2020-06-13",0.6,"2",1
"2020-06-13",0.6,"3",5
"2020-06-14",0.68,"4",-6
"2020-06-14",0.68,"5",-8
"2020-06-14",0.68,"6",-33
"2020-06-14",0.68,"1",-33
"2020-06-14",0.68,"2",-4
"2020-06-14",0.68,"3",5
"2020-06-15",0.76,"4",-18
"2020-06-15",0.76,"5",-12
"2020-06-15",0.76,"6",-39
"2020-06-15",0.76,"1",-34
"2020-06-15",0.76,"2",11
"2020-06-15",0.76,"3",4
"2020-06-16",0.85,"4",-17
"2020-06-16",0.85,"5",-10
"2020-06-16",0.85,"6",-35
"2020-06-16",0.85,"1",-36
"2020-06-16",0.85,"2",-2
"2020-06-16",0.85,"3",6
"2020-06-17",0.94,"4",-15
"2020-06-17",0.94,"5",-10
"2020-06-17",0.94,"6",-36
"2020-06-17",0.94,"1",-33
"2020-06-17",0.94,"2",-2
"2020-06-17",0.94,"3",6
"2020-06-18",1,"4",-18
"2020-06-18",1,"5",-14
"2020-06-18",1,"6",-56
"2020-06-18",1,"1",-38
"2020-06-18",1,"2",-1
"2020-06-18",1,"3",8
"2020-06-19",1.08,"4",-8
"2020-06-19",1.08,"5",-7
"2020-06-19",1.08,"6",-46
"2020-06-19",1.08,"1",-34
"2020-06-19",1.08,"2",-1
"2020-06-19",1.08,"3",7
"2020-06-20",1.15,"4",1
"2020-06-20",1.15,"5",-5
"2020-06-20",1.15,"6",-30
"2020-06-20",1.15,"1",-35
"2020-06-20",1.15,"2",-1
"2020-06-20",1.15,"3",5
"2020-06-21",1.19,"4",-8
"2020-06-21",1.19,"5",-8
"2020-06-21",1.19,"6",-49
"2020-06-21",1.19,"1",-42
"2020-06-21",1.19,"2",-6
"2020-06-21",1.19,"3",6
"2020-06-22",1.21,"4",-16
"2020-06-22",1.21,"5",-12
"2020-06-22",1.21,"6",-36
"2020-06-22",1.21,"1",-32
"2020-06-22",1.21,"2",9
"2020-06-22",1.21,"3",4
"2020-06-23",1.21,"4",-15
"2020-06-23",1.21,"5",-8
"2020-06-23",1.21,"6",-33
"2020-06-23",1.21,"1",-34
"2020-06-23",1.21,"2",-4
"2020-06-23",1.21,"3",6
"2020-06-24",1.21,"4",-14
"2020-06-24",1.21,"5",-10
"2020-06-24",1.21,"6",-42
"2020-06-24",1.21,"1",-32
"2020-06-24",1.21,"2",-3
"2020-06-24",1.21,"3",6
"2020-06-25",1.2,"4",-13
"2020-06-25",1.2,"5",-7
"2020-06-25",1.2,"6",-48
"2020-06-25",1.2,"1",-36
"2020-06-25",1.2,"2",0
"2020-06-25",1.2,"3",7
"2020-06-26",1.19,"4",-7
"2020-06-26",1.19,"5",-7
"2020-06-26",1.19,"6",-47
"2020-06-26",1.19,"1",-33
"2020-06-26",1.19,"2",-1
"2020-06-26",1.19,"3",7
"2020-06-27",1.17,"4",-2
"2020-06-27",1.17,"5",-6
"2020-06-27",1.17,"6",-40
"2020-06-27",1.17,"1",-34
"2020-06-27",1.17,"2",-4
"2020-06-27",1.17,"3",6
"2020-06-28",1.13,"4",-6
"2020-06-28",1.13,"5",-8
"2020-06-28",1.13,"6",-47
"2020-06-28",1.13,"1",-43
"2020-06-28",1.13,"2",-7
"2020-06-28",1.13,"3",6
"2020-06-29",1.09,"4",-17
"2020-06-29",1.09,"5",-13
"2020-06-29",1.09,"6",-50
"2020-06-29",1.09,"1",-33
"2020-06-29",1.09,"2",11
"2020-06-29",1.09,"3",5
"2020-06-30",1.07,"4",-13
"2020-06-30",1.07,"5",-10
"2020-06-30",1.07,"6",-41
"2020-06-30",1.07,"1",-33
"2020-06-30",1.07,"2",-1
"2020-06-30",1.07,"3",6
"2020-07-01",1.06,"4",-13
"2020-07-01",1.06,"5",-11
"2020-07-01",1.06,"6",-43
"2020-07-01",1.06,"1",-33
"2020-07-01",1.06,"2",-2
"2020-07-01",1.06,"3",6
"2020-07-02",1.05,"4",-11
"2020-07-02",1.05,"5",-9
"2020-07-02",1.05,"6",-44
"2020-07-02",1.05,"1",-32
"2020-07-02",1.05,"2",1
"2020-07-02",1.05,"3",6
"2020-07-03",1.05,"4",-4
"2020-07-03",1.05,"5",-6
"2020-07-03",1.05,"6",-37
"2020-07-03",1.05,"1",-29
"2020-07-03",1.05,"2",0
"2020-07-03",1.05,"3",6
"2020-07-04",1.07,"4",1
"2020-07-04",1.07,"5",-5
"2020-07-04",1.07,"6",-25
"2020-07-04",1.07,"1",-27
"2020-07-04",1.07,"2",-4
"2020-07-04",1.07,"3",4
"2020-07-05",1.07,"4",-4
"2020-07-05",1.07,"5",-8
"2020-07-05",1.07,"6",-43
"2020-07-05",1.07,"1",-38
"2020-07-05",1.07,"2",-10
"2020-07-05",1.07,"3",5
"2020-07-06",1.07,"4",-9
"2020-07-06",1.07,"5",-10
"2020-07-06",1.07,"6",-43
"2020-07-06",1.07,"1",-33
"2020-07-06",1.07,"2",-4
"2020-07-06",1.07,"3",6
"2020-07-07",1.06,"4",-7
"2020-07-07",1.06,"5",-5
"2020-07-07",1.06,"6",-35
"2020-07-07",1.06,"1",-33
"2020-07-07",1.06,"2",-15
"2020-07-07",1.06,"3",7
"2020-07-08",1.05,"4",-9
"2020-07-08",1.05,"5",-10
"2020-07-08",1.05,"6",-45
"2020-07-08",1.05,"1",-36
"2020-07-08",1.05,"2",-15
"2020-07-08",1.05,"3",8
"2020-07-09",1.03,"4",-4
"2020-07-09",1.03,"5",-6
"2020-07-09",1.03,"6",-35
"2020-07-09",1.03,"1",-31
"2020-07-09",1.03,"2",-12
"2020-07-09",1.03,"3",7
"2020-07-10",1,"4",-1
"2020-07-10",1,"5",-4
"2020-07-10",1,"6",-27
"2020-07-10",1,"1",-30
"2020-07-10",1,"2",-14
"2020-07-10",1,"3",7
"2020-07-11",0.98,"4",2
"2020-07-11",0.98,"5",-4
"2020-07-11",0.98,"6",-22
"2020-07-11",0.98,"1",-29
"2020-07-11",0.98,"2",-5
"2020-07-11",0.98,"3",4
"2020-07-12",0.97,"4",-2
"2020-07-12",0.97,"5",-7
"2020-07-12",0.97,"6",-34
"2020-07-12",0.97,"1",-32
"2020-07-12",0.97,"2",-10
"2020-07-12",0.97,"3",4
"2020-07-13",0.97,"4",-5
"2020-07-13",0.97,"5",-6
"2020-07-13",0.97,"6",-29
"2020-07-13",0.97,"1",-29
"2020-07-13",0.97,"2",-5
"2020-07-13",0.97,"3",5
"2020-07-14",0.97,"4",-7
"2020-07-14",0.97,"5",-8
"2020-07-14",0.97,"6",-25
"2020-07-14",0.97,"1",-31
"2020-07-14",0.97,"2",-15
"2020-07-14",0.97,"3",6
"2020-07-15",0.96,"4",-6
"2020-07-15",0.96,"5",-9
"2020-07-15",0.96,"6",-42
"2020-07-15",0.96,"1",-31
"2020-07-15",0.96,"2",-14
"2020-07-15",0.96,"3",7
"2020-07-16",0.96,"4",-5
"2020-07-16",0.96,"5",-7
"2020-07-16",0.96,"6",-44
"2020-07-16",0.96,"1",-32
"2020-07-16",0.96,"2",-12
"2020-07-16",0.96,"3",7
"2020-07-17",0.95,"4",0
"2020-07-17",0.95,"5",-4
"2020-07-17",0.95,"6",-38
"2020-07-17",0.95,"1",-31
"2020-07-17",0.95,"2",-13
"2020-07-17",0.95,"3",7
"2020-07-18",0.95,"4",3
"2020-07-18",0.95,"5",-4
"2020-07-18",0.95,"6",-29
"2020-07-18",0.95,"1",-26
"2020-07-18",0.95,"2",-5
"2020-07-18",0.95,"3",4
"2020-07-19",0.93,"4",-1
"2020-07-19",0.93,"5",-3
"2020-07-19",0.93,"6",-33
"2020-07-19",0.93,"1",-32
"2020-07-19",0.93,"2",-8
"2020-07-19",0.93,"3",4
"2020-07-20",0.91,"4",-12
"2020-07-20",0.91,"5",-10
"2020-07-20",0.91,"6",-40
"2020-07-20",0.91,"1",-26
"2020-07-20",0.91,"2",12
"2020-07-20",0.91,"3",3
"2020-07-21",0.89,"4",-13
"2020-07-21",0.89,"5",-8
"2020-07-21",0.89,"6",-40
"2020-07-21",0.89,"1",-29
"2020-07-21",0.89,"2",-1
"2020-07-21",0.89,"3",5
"2020-07-22",0.88,"4",-11
"2020-07-22",0.88,"5",-9
"2020-07-22",0.88,"6",-44
"2020-07-22",0.88,"1",-28
"2020-07-22",0.88,"2",0
"2020-07-22",0.88,"3",5
"2020-07-23",0.9,"4",-8
"2020-07-23",0.9,"5",-7
"2020-07-23",0.9,"6",-42
"2020-07-23",0.9,"1",-26
"2020-07-23",0.9,"2",4
"2020-07-23",0.9,"3",4
"2020-07-24",0.9,"4",-3
"2020-07-24",0.9,"5",-5
"2020-07-24",0.9,"6",-39
"2020-07-24",0.9,"1",-26
"2020-07-24",0.9,"2",3
"2020-07-24",0.9,"3",4
"2020-07-25",0.92,"4",6
"2020-07-25",0.92,"5",-1
"2020-07-25",0.92,"6",-13
"2020-07-25",0.92,"1",-26
"2020-07-25",0.92,"2",-3
"2020-07-25",0.92,"3",3
"2020-07-26",0.96,"4",0
"2020-07-26",0.96,"5",-4
"2020-07-26",0.96,"6",-28
"2020-07-26",0.96,"1",-30
"2020-07-26",0.96,"2",-8
"2020-07-26",0.96,"3",3
"2020-07-27",1.02,"4",-12
"2020-07-27",1.02,"5",-9
"2020-07-27",1.02,"6",-32
"2020-07-27",1.02,"1",-22
"2020-07-27",1.02,"2",13
"2020-07-27",1.02,"3",2
"2020-07-28",1.06,"4",-12
"2020-07-28",1.06,"5",-7
"2020-07-28",1.06,"6",-32
"2020-07-28",1.06,"1",-26
"2020-07-28",1.06,"2",1
"2020-07-28",1.06,"3",4
"2020-07-29",1.07,"4",-9
"2020-07-29",1.07,"5",-6
"2020-07-29",1.07,"6",-34
"2020-07-29",1.07,"1",-24
"2020-07-29",1.07,"2",1
"2020-07-29",1.07,"3",4
"2020-07-30",1.08,"4",-5
"2020-07-30",1.08,"5",-6
"2020-07-30",1.08,"6",-19
"2020-07-30",1.08,"1",-22
"2020-07-30",1.08,"2",4
"2020-07-30",1.08,"3",3
"2020-07-31",1.11,"4",0
"2020-07-31",1.11,"5",-4
"2020-07-31",1.11,"6",-25
"2020-07-31",1.11,"1",-24
"2020-07-31",1.11,"2",2
"2020-07-31",1.11,"3",4
"2020-08-01",1.11,"4",7
"2020-08-01",1.11,"5",-1
"2020-08-01",1.11,"6",1
