"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-15",1.84,"1",-7
"2020-03-15",1.84,"2",2
"2020-03-15",1.84,"3",3
"2020-03-16",1.85,"4",-8
"2020-03-16",1.85,"5",2
"2020-03-16",1.85,"6",-1
"2020-03-16",1.85,"1",-6
"2020-03-16",1.85,"2",-4
"2020-03-16",1.85,"3",3
"2020-03-17",1.9,"4",-11
"2020-03-17",1.9,"5",0
"2020-03-17",1.9,"6",-2
"2020-03-17",1.9,"1",-9
"2020-03-17",1.9,"2",-8
"2020-03-17",1.9,"3",3
"2020-03-18",1.94,"4",-12
"2020-03-18",1.94,"5",1
"2020-03-18",1.94,"6",-6
"2020-03-18",1.94,"1",-10
"2020-03-18",1.94,"2",-8
"2020-03-18",1.94,"3",4
"2020-03-19",2.01,"4",-16
"2020-03-19",2.01,"5",1
"2020-03-19",2.01,"6",-7
"2020-03-19",2.01,"1",-14
"2020-03-19",2.01,"2",-11
"2020-03-19",2.01,"3",5
"2020-03-20",2.07,"4",-22
"2020-03-20",2.07,"5",1
"2020-03-20",2.07,"6",-13
"2020-03-20",2.07,"1",-18
"2020-03-20",2.07,"2",-15
"2020-03-20",2.07,"3",7
"2020-03-21",2.11,"4",-34
"2020-03-21",2.11,"5",-4
"2020-03-21",2.11,"6",-23
"2020-03-21",2.11,"1",-25
"2020-03-21",2.11,"2",-18
"2020-03-21",2.11,"3",8
"2020-03-22",2.12,"4",-78
"2020-03-22",2.12,"5",-76
"2020-03-22",2.12,"6",-58
"2020-03-22",2.12,"1",-70
"2020-03-22",2.12,"2",-49
"2020-03-22",2.12,"3",21
"2020-03-23",2.11,"4",-54
"2020-03-23",2.11,"5",-27
"2020-03-23",2.11,"6",-35
"2020-03-23",2.11,"1",-52
"2020-03-23",2.11,"2",-50
"2020-03-23",2.11,"3",20
"2020-03-24",2.09,"4",-68
"2020-03-24",2.09,"5",-48
"2020-03-24",2.09,"6",-44
"2020-03-24",2.09,"1",-64
"2020-03-24",2.09,"2",-65
"2020-03-24",2.09,"3",25
"2020-03-25",2.09,"4",-77
"2020-03-25",2.09,"5",-64
"2020-03-25",2.09,"6",-53
"2020-03-25",2.09,"1",-73
"2020-03-25",2.09,"2",-72
"2020-03-25",2.09,"3",30
"2020-03-26",2.08,"4",-76
"2020-03-26",2.08,"5",-64
"2020-03-26",2.08,"6",-51
"2020-03-26",2.08,"1",-73
"2020-03-26",2.08,"2",-70
"2020-03-26",2.08,"3",30
"2020-03-27",2.1,"4",-77
"2020-03-27",2.1,"5",-64
"2020-03-27",2.1,"6",-52
"2020-03-27",2.1,"1",-73
"2020-03-27",2.1,"2",-70
"2020-03-27",2.1,"3",31
"2020-03-28",2.1,"4",-78
"2020-03-28",2.1,"5",-65
"2020-03-28",2.1,"6",-54
"2020-03-28",2.1,"1",-73
"2020-03-28",2.1,"2",-66
"2020-03-28",2.1,"3",29
"2020-03-29",2.12,"4",-77
"2020-03-29",2.12,"5",-65
"2020-03-29",2.12,"6",-57
"2020-03-29",2.12,"1",-71
"2020-03-29",2.12,"2",-47
"2020-03-29",2.12,"3",22
"2020-03-30",2.17,"4",-76
"2020-03-30",2.17,"5",-63
"2020-03-30",2.17,"6",-51
"2020-03-30",2.17,"1",-74
"2020-03-30",2.17,"2",-68
"2020-03-30",2.17,"3",30
"2020-03-31",2.21,"4",-75
"2020-03-31",2.21,"5",-63
"2020-03-31",2.21,"6",-50
"2020-03-31",2.21,"1",-73
"2020-03-31",2.21,"2",-68
"2020-03-31",2.21,"3",29
"2020-04-01",2.25,"4",-76
"2020-04-01",2.25,"5",-64
"2020-04-01",2.25,"6",-52
"2020-04-01",2.25,"1",-73
"2020-04-01",2.25,"2",-68
"2020-04-01",2.25,"3",29
"2020-04-02",2.21,"4",-76
"2020-04-02",2.21,"5",-65
"2020-04-02",2.21,"6",-51
"2020-04-02",2.21,"1",-74
"2020-04-02",2.21,"2",-69
"2020-04-02",2.21,"3",30
"2020-04-03",2.14,"4",-76
"2020-04-03",2.14,"5",-62
"2020-04-03",2.14,"6",-51
"2020-04-03",2.14,"1",-73
"2020-04-03",2.14,"2",-67
"2020-04-03",2.14,"3",30
"2020-04-04",2.12,"4",-77
"2020-04-04",2.12,"5",-64
"2020-04-04",2.12,"6",-53
"2020-04-04",2.12,"1",-73
"2020-04-04",2.12,"2",-61
"2020-04-04",2.12,"3",28
"2020-04-05",2.1,"4",-77
"2020-04-05",2.1,"5",-65
"2020-04-05",2.1,"6",-56
"2020-04-05",2.1,"1",-71
"2020-04-05",2.1,"2",-43
"2020-04-05",2.1,"3",21
"2020-04-06",2.06,"4",-76
"2020-04-06",2.06,"5",-63
"2020-04-06",2.06,"6",-50
"2020-04-06",2.06,"1",-73
"2020-04-06",2.06,"2",-68
"2020-04-06",2.06,"3",30
"2020-04-07",1.98,"4",-78
"2020-04-07",1.98,"5",-53
"2020-04-07",1.98,"6",-46
"2020-04-07",1.98,"1",-67
"2020-04-07",1.98,"2",-67
"2020-04-07",1.98,"3",28
"2020-04-08",1.91,"4",-78
"2020-04-08",1.91,"5",-52
"2020-04-08",1.91,"6",-48
"2020-04-08",1.91,"1",-68
"2020-04-08",1.91,"2",-67
"2020-04-08",1.91,"3",29
"2020-04-09",1.85,"4",-78
"2020-04-09",1.85,"5",-54
"2020-04-09",1.85,"6",-48
"2020-04-09",1.85,"1",-68
"2020-04-09",1.85,"2",-68
"2020-04-09",1.85,"3",30
"2020-04-10",1.8,"4",-79
"2020-04-10",1.8,"5",-53
"2020-04-10",1.8,"6",-48
"2020-04-10",1.8,"1",-69
"2020-04-10",1.8,"2",-69
"2020-04-10",1.8,"3",32
"2020-04-11",1.75,"4",-80
"2020-04-11",1.75,"5",-55
"2020-04-11",1.75,"6",-52
"2020-04-11",1.75,"1",-69
"2020-04-11",1.75,"2",-64
"2020-04-11",1.75,"3",30
"2020-04-12",1.71,"4",-79
"2020-04-12",1.71,"5",-56
"2020-04-12",1.71,"6",-54
"2020-04-12",1.71,"1",-67
"2020-04-12",1.71,"2",-44
"2020-04-12",1.71,"3",22
"2020-04-13",1.67,"4",-78
"2020-04-13",1.67,"5",-53
"2020-04-13",1.67,"6",-48
"2020-04-13",1.67,"1",-69
"2020-04-13",1.67,"2",-66
"2020-04-13",1.67,"3",31
"2020-04-14",1.63,"4",-78
"2020-04-14",1.63,"5",-55
"2020-04-14",1.63,"6",-47
"2020-04-14",1.63,"1",-69
"2020-04-14",1.63,"2",-69
"2020-04-14",1.63,"3",30
"2020-04-15",1.59,"4",-78
"2020-04-15",1.59,"5",-51
"2020-04-15",1.59,"6",-48
"2020-04-15",1.59,"1",-66
"2020-04-15",1.59,"2",-64
"2020-04-15",1.59,"3",29
"2020-04-16",1.56,"4",-85
"2020-04-16",1.56,"5",-44
"2020-04-16",1.56,"6",-60
"2020-04-16",1.56,"1",-65
"2020-04-16",1.56,"2",-65
"2020-04-16",1.56,"3",30
"2020-04-17",1.54,"4",-85
"2020-04-17",1.54,"5",-43
"2020-04-17",1.54,"6",-60
"2020-04-17",1.54,"1",-65
"2020-04-17",1.54,"2",-65
"2020-04-17",1.54,"3",31
"2020-04-18",1.52,"4",-87
